Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Asgard,simple,18001,AT01-AD,AG05 Asgard The HAMMER Automatic Taper,1,0,visible,,Asgard HAMMER Automatic Taper,,,,1271.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-automatictaper-at01ad/asgard-automatictaper-at01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,CFA-AD,CFA-AD,Asgard Angle Head Ball Adapter (CFA-AD),1,0,visible,"The Asgard Angle Head Ball Adapter (CFA-AD) connects your angle head to a finishing handle, providing the essential articulation needed for smooth, precise, and efficient drywall corner finishing.","<p><strong>Asgard Angle Head Ball Adapter (CFA-AD)</strong> serves as the critical link between your angle head and finishing handle, facilitating the precise articulation required for professional drywall corner finishing. This adapter enables multi-directional movement, allowing the tool to maintain consistent contact with internal corners and tight architectural angles. By ensuring optimal tool positioning, it helps produce a smooth, feathered finish while reducing wrist strain during extended use.</p><p>Engineered for the rigors of high-volume job sites, this component is built from durable aluminum to maintain structural integrity under pressure. It integrates seamlessly into your existing taping workflow, providing a secure and reliable connection that supports efficient, high-quality results.</p><p><strong>Features:</strong></p><ul><li><strong>Fluid Articulation:</strong> The ball-joint design provides a superior range of motion, keeping the tool perfectly positioned in complex corners.</li><li><strong>Seamless Integration:</strong> Designed for quick, secure attachment between standard angle heads and compatible finishing handles.</li><li><strong>Professional Durability:</strong> Constructed from robust aluminum to withstand demanding construction environments.</li><li><strong>Ergonomic Operation:</strong> Promotes a natural hand position, significantly reducing fatigue during repetitive finishing tasks.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>CFA-AD</td></tr><tr><td>Material</td><td>Aluminum</td></tr><tr><td>Compatibility</td><td>Standard Angle Heads, FH-AD, and XH-AD Handles</td></tr><tr><td>Height</td><td>5""</td></tr><tr><td>Width</td><td>1""</td></tr><tr><td>Depth</td><td>1""</td></tr><tr><td>Weight</td><td>0.33 lb</td></tr></tbody></table>",,,,40,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"angle head adapter, ball adapter, CFA-AD, corner finishing, handle adapter",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-adapter-cfaad/asgard-adapter-cfaad-01.webp,,,,,,,,,91,Brand,Asgard,1,1,0,,,,,0,Asgard Angle Head Ball Adapter - CFA-AD | Durable Aluminum,"Ensure precise articulation for corner finishing with the Asgard CFA-AD Adapter. Connects angle heads to handles for smooth, multi-directional movement.",
Asgard,simple,LP01-AD,LP01-AD,Asgard Loading Pump (LP01-AD),1,0,visible,"Asgard Loading Pump (LP01-AD) offers professional-grade compound transfer with a durable, anodized design. Featuring an integrated O-ring seal for leak-free connections and a stable footplate, it is compatible with all major automatic taping tool brands and allows for quick, tool-free cleaning.","<p><strong>Asgard Loading Pump (LP01-AD)</strong> delivers reliable, high-volume compound transfer for professional drywall finishing. Engineered for daily job site demands, this manual pump streamlines the filling of automatic tapers, flat boxes, and corner applicators. Its robust, anodized construction ensures long-term durability, while the integrated O-ring seal eliminates the need for traditional paper gaskets, providing a secure, leak-free connection for filler adapters and goosenecks.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with all major brands of automatic taping tools and finishing attachments.</li><li><strong>Integrated Sealing:</strong> Features an innovative O-ring design that ensures a tight, leak-free seal without the maintenance headaches of paper gaskets.</li><li><strong>Simplified Maintenance:</strong> The clamped pump tube allows for rapid, tool-free disassembly, facilitating thorough cleaning and extended service life.</li><li><strong>Enhanced Stability:</strong> Equipped with a reinforced, wide footplate to prevent tipping and maintain balance during high-pressure operation.</li><li><strong>Durable Construction:</strong> Built with industrial-grade materials and an anodized finish to withstand the rigors of professional use.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>SKU</td><td>LP01-AD</td></tr><tr><td>Brand</td><td>Asgard</td></tr><tr><td>UPC</td><td>0873876004560</td></tr><tr><td>Compatibility</td><td>All major automatic taping tools</td></tr><tr><td>Primary Material</td><td>Industrial-grade metal and composite</td></tr><tr><td>Color Scheme</td><td>Black and Blue</td></tr><tr><td>Includes</td><td>Loading pump unit, coarse filter screen, fine filter screen, extra valve disc</td></tr></tbody></table>",,,,378,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Pumps & Accessories,"LP01-AD, loading pump, mud pump, joint compound pump, O-ring seal pump",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-loadingpump-lp01ad/asgard-loadingpump-lp01ad-01.webp,,,,,,,,,246,Brand,Asgard,1,1,0,,,,,0,Asgard Loading Pump with Integrated O-Ring - LP01-AD,High-volume Asgard Loading Pump for filling tapers and boxes. Features an innovative O-ring seal to eliminate paper gaskets and a quick-disassembly design.,
Asgard,simple,FA01-AD,FA01-AD,Asgard Box Filler Adapter (FA01-AD),1,0,visible,"Asgard Box Filler Adapter (FA01-AD) is a durable, professional-grade component that connects your loading pump to flat boxes, angle boxes, and nail spotters. Engineered for universal compatibility, it ensures fast, leak-free compound transfer to keep your drywall finishing workflow moving...","<p><strong>Asgard Box Filler Adapter (FA01-AD)</strong> provides a secure, high-performance interface between your loading pump and various finishing tools. Engineered for professional drywall contractors, this adapter facilitates rapid, clean transfers of joint compound to maintain consistent productivity on residential and commercial job sites. Its robust construction ensures long-term reliability, while the included steel tether prevents loss during operation or transport.</p><p>This adapter is designed for broad compatibility, integrating seamlessly with most industry-standard loading pumps. By streamlining the compound loading process, it reduces manual handling and minimizes leaks, allowing for a more efficient workflow when filling flat boxes, angle boxes, and nail spotters.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Fits securely onto the majority of major drywall loading pump brands.</li><li><strong>Versatile Application:</strong> Enables efficient filling of flat boxes, angle boxes, and nail spotters.</li><li><strong>Durable Construction:</strong> Built to withstand the rigors of daily, heavy-duty professional use.</li><li><strong>Loss Prevention:</strong> Features an integrated steel cable to keep the adapter tethered to the pump.</li><li><strong>Streamlined Workflow:</strong> Reduces downtime and physical effort during compound loading tasks.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FA01-AD</td></tr><tr><td>UPC</td><td>0873876004577</td></tr><tr><td>Compatibility</td><td>Major brand loading pumps</td></tr><tr><td>Primary Use</td><td>Filling flat boxes, angle boxes, and nail spotters</td></tr><tr><td>Includes</td><td>Filler adapter, steel attachment cable</td></tr></tbody></table>",,,,45,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Repair Kits & Parts,"FA01-AD, filler adapter, pump adapter, loading pump parts, flat box filler",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-filleradapter-fa01ad/asgard-filleradapter-fa01ad-01.webp,,,,,,,,,403,Brand,Asgard,1,1,0,,,,,0,Asgard Universal Box Filler Adapter - FA01-AD,"Facilitate rapid, leak-free compound transfers with the Asgard FA01-AD Filler Adapter. Fits most industry-standard loading pumps for flat and angle boxes.",
Asgard,simple,GN01-AD,GN01-AD,Asgard Gooseneck (GN01-AD),1,0,visible,"The Asgard Gooseneck (GN01-AD) is a professional-grade stainless steel attachment designed for efficient, leak-free compound transfer from loading pumps to automatic tapers. Featuring a protective rubber-sleeved cradle, it ensures a secure fit and long-term durability for high-volume drywall...","<p><strong>Asgard Gooseneck (GN01-AD)</strong> serves as the critical link between your loading pump and automatic taper, facilitating a seamless transfer of joint compound. Engineered for the high-volume demands of professional drywall finishing, this component minimizes downtime by enabling rapid, mess-free tool filling on the job site.</p><p>Constructed from high-grade stainless steel, this gooseneck is built to withstand daily site wear while resisting corrosion. The integrated cradle features protective rubber sleeves, specifically designed to prevent surface damage to your automatic taper during the loading process. Precision-machined fittings ensure a secure, leak-free connection with standard industry loading pumps and traditional-style automatic tapers.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> Fabricated from high-quality stainless steel for long-term reliability in active job site environments.</li><li><strong>Taper Protection:</strong> Features rubber-coated cradle sleeves to safeguard your automatic taper from wear and surface damage during filling.</li><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with traditional-style automatic tapers and most major brand loading pumps.</li><li><strong>Efficient Operation:</strong> Facilitates rapid, clean compound transfer, significantly reducing prep time between taping runs.</li><li><strong>Secure Seal:</strong> Precision-engineered fittings provide a tight, reliable connection to prevent compound leakage under pressure.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>GN01-AD</td></tr><tr><td>Material</td><td>Stainless Steel</td></tr><tr><td>Compatibility</td><td>Traditional-style automatic tapers and major brand loading pumps</td></tr><tr><td>UPC</td><td>873876004584</td></tr></tbody></table>",,,,100,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Repair Kits & Parts,"GN01-AD, gooseneck, taper filler, loading pump adapter, stainless steel gooseneck",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-gooseneck-gn01ad/asgard-gooseneck-gn01ad-01.webp,,,,,,,,,404,Brand,Asgard,1,1,0,,,,,0,Asgard Stainless Steel Gooseneck Taper Filler - GN01-AD,"The Asgard GN01-AD Gooseneck provides efficient, leak-free compound transfer from loading pumps to automatic tapers. Features a protective rubber-sleeved cradle.",
Asgard,simple,CR01-AD,CR01-AD,Asgard Inside Corner Roller (CR01-AD),1,0,visible,"The Asgard Inside Corner Roller (CR01-AD) is a durable, stainless steel tool designed to quickly and accurately embed drywall tape into internal corners, removing air pockets and excess compound for a professional, crisp finish.","<p><strong>Asgard Inside Corner Roller (CR01-AD)</strong> is a professional-grade tool engineered to streamline drywall finishing by ensuring tape is firmly and accurately embedded into internal 90-degree corners. By applying consistent pressure, this roller effectively eliminates air pockets and excess joint compound from behind the tape, creating a uniform surface prepared for subsequent angle head or finishing passes.</p><p>Built for the demands of daily job-site use, this tool features high-quality stainless steel rollers that provide long-lasting durability and resistance to corrosion. The robust frame is designed for fluid movement, allowing for precise control and reduced physical strain during repetitive tasks. It is an essential component for contractors seeking crisp, professional corner finishes with maximum efficiency.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Embedding:</strong> Ensures deep, uniform contact between tape and compound for a bubble-free finish.</li><li><strong>Durable Construction:</strong> Equipped with premium stainless steel rollers designed to withstand heavy use while maintaining consistent performance.</li><li><strong>Ergonomic Design:</strong> Optimized for fluid movement to minimize wrist fatigue and maximize productivity.</li><li><strong>Efficient Workflow:</strong> Quickly removes excess compound and air, reducing the need for manual touch-ups.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>CR01-AD</td></tr><tr><td>UPC</td><td>873876004591</td></tr><tr><td>Material</td><td>Stainless Steel</td></tr><tr><td>Application</td><td>Drywall Internal Corner Finishing</td></tr><tr><td>Country of Origin</td><td>United States</td></tr></tbody></table>",,,,161,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"CR01-AD, corner roller, inside corner tool, drywall taping, stainless steel roller",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-cornerroller-cr01ad/asgard-cornerroller-cr01ad-01.webp,,,,,,,,,92,Brand,Asgard,1,1,0,,,,,0,Asgard Inside Corner Roller - CR01-AD | Stainless Steel,"Embed drywall tape firmly into 90-degree corners with the Asgard CR01-AD. Stainless steel rollers eliminate air pockets for a professional, bubble-free finish.",
Asgard,simple,CA08-AD,CA08-AD,"Asgard 8"" Drywall Angle Box (CA08-AD)",1,0,visible,"The Asgard 8"" Drywall Angle Box features a high-capacity, lightweight aluminum body and a durable stainless steel nose cone. Designed for professional efficiency, this tool provides consistent compound application for internal corners while maintaining long-term reliability on the job site.","<p><strong>Asgard 8"" Drywall Angle Box (CA08-AD)</strong> provides professional-grade efficiency for applying joint compound to internal corners. This tool is engineered to streamline the finishing process, allowing for consistent, high-volume output that reduces the need for frequent refills during demanding drywall projects.</p><p>Built with a lightweight anodized aluminum body, the unit minimizes operator fatigue while maintaining the structural durability required for daily site use. The precision-engineered stainless steel nose cone ensures a smooth, reliable flow of compound, delivering the professional results expected in high-standard finishing work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Optimized to hold more joint compound than smaller models, increasing productivity by extending the time between pump refills.</li><li><strong>Durable Construction:</strong> Features a rugged, anodized aluminum housing paired with a hardened stainless steel nose cone for long-term wear resistance.</li><li><strong>Professional Ergonomics:</strong> Balanced design allows for precise control and ease of handling during vertical and horizontal corner applications.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard taping tool systems and corner finishing heads.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>CA08-AD</td></tr><tr><td>UPC</td><td>0873876004607</td></tr><tr><td>Tool Size</td><td>8 Inches</td></tr><tr><td>Body Material</td><td>Anodized Aluminum</td></tr><tr><td>Nose Cone Material</td><td>Stainless Steel</td></tr><tr><td>Warranty</td><td>5 Year Limited Warranty</td></tr></tbody></table>",,,,270,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"8 inch angle box, CA08-AD, corner applicator, internal corner finishing, stainless steel nose cone",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglebox-ca08ad/asgard-anglebox-ca08ad-01.webp,,,,,,,,,84,Brand,Asgard,1,1,0,,,,,0,"Asgard 8"" Drywall Angle Box - CA08-AD | High-Capacity","High-capacity Asgard 8"" Angle Box for efficient joint compound application. Features a lightweight anodized aluminum body and durable stainless steel nose cone.",
Asgard,variation,NS03-AD,NS03-AD,"Asgard 3"" EasyClean® Nail Spotter (NS03-AD)",1,0,visible,,,,,,270,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"3 inch nail spotter, NS03-AD, fastener finisher, drywall finishing, stainless steel nail spotter",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-nailspotter-ns03ad/asgard-nailspotter-ns03ad-01.webp,,,ASGARD-NS,,,,,,83,Brand,Asgard,1,1,0,Size,"3""",1,1,1,"Asgard 3"" Stainless Steel Nail Spotter - NS03-AD","Efficiently finish fastener depressions with the Asgard 3"" Nail Spotter. Features a durable stainless steel body, EasyClean lid, and protective skid plate.",
Asgard,simple,FBHE-AD,FBHE-AD,Asgard Extendable Flat Box Handle (FBHE-AD),1,0,visible,"The Asgard Extendable Flat Box Handle offers a 41 to 63-inch telescopic range and universal compatibility. Its Brake Anywhere technology provides precise control while minimizing mechanical wear for reliable, long-term performance.","<p><strong>Asgard Extendable Flat Box Handle (FBHE-AD)</strong> provides professional-grade control for drywall finishing, engineered for consistent performance on both walls and ceilings. This handle features a robust telescopic design that adjusts from 41 to 63 inches, eliminating the need for constant height adjustments or stilts during high-reach applications. Its universal mounting plate ensures seamless integration with all major industry-standard flat boxes, making it a versatile addition to any professional tool inventory.</p><p><strong>Features:</strong></p><ul><li><strong>Brake Anywhere Technology:</strong> A specialized braking system allows the flat box to be locked at any angle, significantly reducing mechanical wear compared to traditional pinch-brake designs.</li><li><strong>Telescopic Adjustment:</strong> The smooth-sliding mechanism extends from 41 to 63 inches, providing secure, reliable locking at any length within the range.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with all major flat box brands for maximum versatility.</li><li><strong>Ergonomic Design:</strong> Built to minimize operator fatigue during extended use on demanding jobsites.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FBHE-AD</td></tr><tr><td>UPC</td><td>873876004645</td></tr><tr><td>Minimum Length</td><td>41 inches</td></tr><tr><td>Maximum Length</td><td>63 inches</td></tr><tr><td>Brake System</td><td>Brake Anywhere Technology</td></tr></tbody></table>",,,,292,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Handles & Extensions,"FBHE-AD, telescopic handle, brake anywhere, extendable flat box handle",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxhandle-fbhead/asgard-flatboxhandle-fbhead-01.webp,,,,,,,,,180,Brand,Asgard,1,1,0,,,,,0,"Asgard Extendable Flat Box Handle (41""-63"") - FBHE-AD",Control your flat box with precision using the Asgard FBHE-AD Extendable Handle. Features Brake Anywhere technology and a 41-63 inch telescopic range.,
Asgard,simple,18018,BBHE-AD,Asgard Brakeless Box Handle Extendable,1,0,visible,,Asgard Extendable Flat Box Handle - Brakeless,,,,266.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Handles & Extensions,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxhandle-bbhead/asgard-flatboxhandle-bbhead-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
