"Brands","Name","SKU","MPN","Description","Additional Information","Categories","Weight (lbs)","Length (in)","Width (in)","Height (in)","Images"
"TapeTech","2-1/2"" Corner Finisher","42TT","42TT","TapeTech Corner Finisher The TapeTech Corner Finisher is designed to perfectly feather both joint compound edges of internal corners in one pass. It can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool, also known as an Angle Finisher, attaches to a corner applicator (CA07TT or CA08TT) or the 14TT MudRunner®. It helps you quickly and professionally finish internal drywall corners. Perfect for Internal Corners The TapeTech Corner Finisher is ideal for wiping down excess mud in internal corners. It embeds inside corner tape on walls and ceilings, making the finishing process smooth and efficient. Whether you are working on small residential projects or large commercial sites, this tool ensures a high-quality finish every time. Versatility and Ease of Use Corner Finishers are versatile and can be used in various applications. They are perfect for both wall-to-wall and wall-to-ceiling corners. These tools are spring-loaded to help compensate for slightly imperfect corners. This feature ensures that you get a consistent finish even on uneven surfaces. Compatible with Handles The TapeTech Corner Finisher works with the FHTT Fiberglass Handle and the XHTT Extension Handle, though these handles are sold separately. These handles provide extra reach and control, making it easier to work on high or hard-to-reach corners. The ergonomic design of these handles reduces fatigue and increases productivity, allowing you to work more efficiently. Durable and Reliable Crafted from high-quality materials, the TapeTech Corner Finisher is built to last. It can withstand rigorous use on construction sites, ensuring long-term reliability. This durability makes it a valuable addition to any drywall professional's toolkit. Improve Your Work Quality Using the TapeTech Corner Finisher helps improve the quality of your drywall finishing. It provides a smooth, professional-grade finish that will impress your clients. By making the finishing process more efficient, it also saves you time and effort. This tool is essential for anyone looking to achieve top-notch results in drywall finishing. Explore More To explore our range of TapeTech products and learn more about how the Corner Finisher can enhance your drywall finishing experience, contact your local distributor or visit an authorized TapeTech dealer. For additional resources and product demonstrations, check out our YouTube channel and read more on our Drywall Tool Guide. Benefits: - Efficient Finishing: Perfectly feathers joint compound edges in one pass. - Versatile Applications: Ideal for wall-to-wall and wall-to-ceiling corners. - Spring-Loaded Design: Compensates for slightly imperfect corners. - Enhanced Control: Compatible with FHTT Fiberglass Handle and XHTT Extension Handle (handles not included). - Durable Construction: Built to withstand rigorous use on construction sites. Specifications: - Usage: Internal corners, both wall-to-wall and wall-to-ceiling - Compatibility: Works with CA07TT, CA08TT corner applicators, and 14TT MudRunner® - Handles: Compatible with FHTT Fiberglass Handle and XHTT Extension Handle (sold separately) Experience the Difference Incorporate the TapeTech Corner Finisher into your workflow to see the difference in performance and ease of use. Ideal for professionals seeking precision and reliability, this tool represents TapeTech’s commitment to innovation and excellence in drywall finishing tools. Elevate your drywall finishing capabilities with TapeTech — where quality meets innovation.","Weight: 0.9 lbs | Dimensions: 6 × 5 × 5 in","Taping Tools","0.9","6","5","5","https://tapetech.com/wp-content/uploads/2022/06/42TT_01.jpg | https://tapetech.com/wp-content/uploads/2022/06/42TT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/42TT_04.jpg | https://tapetech.com/wp-content/uploads/2022/06/42TT_10.jpg"
"TapeTech","2"" Corner Finisher","40XTT","40XTT","The TapeTech Corner Finisher is used to perfectly feather both joint compound edges of internal corners in one pass. The Corner Finishers can be used for wall-to-wall internal corners or wall-to-ceiling corners. Corner Finishers, also referred to as Angle Finishers, are attached to a corner applicator (CA07TT or CA08TT) or the 14TT MudRunner® to quickly and professionally finish internal drywall corners. The 40XTT 2"" Corner Finisher is often used with the FHTT or XHTT handle as part of the taping process to embed tape into the corners and remove excess joint compound after the 15TTE Corner Roller. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle – not included. Wipes down excess mud in internal corners Embeds inside corner tape on walls and ceilings","Weight: 0.9 lbs | Dimensions: 6 × 5 × 5 in","Taping Tools","0.9","6","5","5","https://tapetech.com/wp-content/uploads/2022/06/40XTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/06/40XTT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/40XTT_04.jpg | https://tapetech.com/wp-content/uploads/2022/06/40XTT_10.jpg"
"TapeTech","2"" EasyClean® Nail Spotter","NS02TT","NS02TT","TapeTech EasyClean® Nail Spotter The TapeTech EasyClean® Nail Spotter is a must-have tool for drywall finishing. It fills the depressions left by nail or screw heads during drywall installation. The Nail Spotter's easy clean box design helps fill these depressions and remove extra compound at the same time. This makes the drywall finishing process faster and easier. Key Features A key feature of the TapeTech EasyClean® Nail Spotter is its hardened steel skid plate. This plate lets the Nail Spotter move smoothly along the wall. It also protects the stainless steel blade from damage caused by nail or screw heads that are not fully set below the drywall surface. Consequently, this feature helps the tool last longer, making it a smart buy for drywall professionals. Handle Compatibility The Nail Spotter works with the XHTT Extension handle and the FHTT fiberglass handle. These handles are sold separately. They give extra reach and control, making it easier to work on high or hard-to-reach areas without ladders or scaffolding. The extension handle is great for big projects, while the fiberglass handle is a light yet strong option. User-Friendly Design The TapeTech EasyClean® Nail Spotter is designed to be easy to use. The easy clean box design makes cleaning simple and quick. This is very useful for busy contractors who need to keep their tools in good condition without losing time. Benefits: - Efficient Drywall Finishing: Fills depressions caused by nail or screw heads and removes extra joint compound in one pass. - Durable Construction: Hardened steel skid plate protects the blade, ensuring long-lasting performance. - Enhanced Reach and Control: Compatible with XHTT Extension and FHTT fiberglass handles, available separately. - User-Friendly Design: Easy clean box design makes maintenance simple. For more information on using the TapeTech EasyClean® Nail Spotter and other drywall finishing tools, visit our Drywall Tool Guide. To see how the Nail Spotter works in real-world settings, check out our demonstration video and customer testimonials on our YouTube channel. With these features, the TapeTech EasyClean® Nail Spotter helps you get a professional finish with less effort. Its durable build and easy-to-use design make it an essential tool for any drywall project. Specifications - Material: Stainless steel blade, hardened steel skid plate - Handles: Compatible with XHTT Extension handle and FHTT fiberglass handle (sold separately) - Weight: Lightweight for easy use and handling For buying options and to explore our full range of drywall finishing tools, visit our product catalog.","Weight: 1.2 lbs | Dimensions: 8 × 7 × 7 in","Taping Tools","1.2","8","7","7","https://tapetech.com/wp-content/uploads/2022/06/NS02TT_SHDW.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_04.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_10.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_11.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_12.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS02TT_13.jpg"
"TapeTech","3"" EasyClean® Nail Spotter","NS03TT","NS03TT","The TapeTech EasyClean® Nail Spotter is used to fill the depressions left from the nails or screw heads during installation of the drywall. The Nail Spotter features an easy clean box design that removes excess compound at the same time as filling the depressions. The hardened steel skid plate allows the Nail Spotter to move along the wall smoothly while protecting the stainless steel blade from nail or screw heads that were not fully set below the surface of the drywall. The XHTT extension handle and FHTT fiberglass handle are available separately. Fills depressions caused by nail or screw heads in drywall Removes excess joint compound after filling dimples","Weight: 1.5 lbs | Dimensions: 8 × 7 × 7 in","Taping Tools","1.5","8","7","7","https://tapetech.com/wp-content/uploads/2022/06/NS03TT_01.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_04.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_10.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_11.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_12.jpg | https://tapetech.com/wp-content/uploads/2022/06/NS03TT_13.jpg"
"TapeTech","7"" Corner Applicator","CA07TT","CA07TT","TapeTech 7"" Corner Applicator: Streamlined Efficiency for Perfect Corners The TapeTech 7"" Corner Applicator is designed to supply joint compound to Corner Finishers, enabling fast and efficient finishing of internal corners (angles). This versatile drywall corner mud applicator can also be used with Applicator Heads to quickly and cleanly apply joint compound to both internal and external corners, facilitating the installation of paper-faced corner bead. With a stainless steel cone, the TapeTech 7"" Corner Applicator ensures durability and reliability on the job. Key Features Stainless Steel Cone: The applicator features a robust stainless steel cone, which ensures longevity and reliable performance, even with frequent use. Versatile Use: The drywall applicator can be used with the FHTT Fiberglass Handle or the XHTT Extension Handle (both handles are not included). This versatility allows you to choose the best handle for your specific needs and preferences. Multiple Applications: The applicator is compatible with various heads to apply joint compound in different scenarios. Use it with the 16TT to apply joint compound to external corners for paper-faced bead application, or with the 16TT90 to apply joint compound to inside corners for tape application. It also finishes internal corners when used with tapetech corner finisher. Usage and Benefits Using the TapeTech 7"" Corner Applicator is straightforward. Simply attach it to the appropriate handle and applicator head for your task. The ergonomic design ensures comfortable use, even during extended periods. Professionals will appreciate the ability to finish internal corners quickly and efficiently. When used with TapeTech Corner Finishers, the drywall corner applicator delivers a smooth, even layer of compound, reducing the need for additional sanding and touch-ups. Furthermore, the applicator's compatibility with Applicator Heads allows for seamless application of joint compound to both internal and external corners, making it an invaluable corner drywall tool for installing paper-faced corner bead. This adaptability ensures that you can handle a variety of finishing tasks with ease and precision. User Experience The TapeTech 7"" Corner Applicator is designed with the user in mind. Its lightweight construction and ergonomic handle reduce strain, making it easy to use for extended periods. The precise control over the flow of joint compound allows for consistent results, enhancing the overall quality of your work. Additionally, the stainless steel cone ensures that the joint compound applicator remains durable and reliable, even with frequent use. Compatibility and Versatility The Corner Applicator stands out for its compatibility and versatility. It can be used with a range of TapeTech drywall tools, including different handles and applicator heads, making it a flexible tool for various drywall finishing tasks. This adaptability ensures that you can handle different types of corners with a single, reliable tool. Quality and Durability Constructed from high-quality materials, the TapeTech 7"" Corner Applicator is built to last. It is designed to withstand the demands of professional use, ensuring reliable performance over time. TapeTech's commitment to quality means that you can trust the corner box drywall to deliver exceptional results on every project. The stainless steel cone adds to its durability, making it a long-lasting addition to your toolkit. Explore More To explore our range of TapeTech products and learn more about how the TapeTech 7"" Corner Applicator can enhance your drywall finishing experience, contact your local distributor or visit an authorized TapeTech dealer. For resources and demos, check out our YouTube channel and our Drywall Tool Guide. Visit all-wall to buy. Conclusion The TapeTech 7"" Corner Applicator is an essential tool for any drywall professional looking to achieve perfect corners with ease. Its precision control, high capacity, and versatility make it a standout choice for finishing drywall corners. By providing a consistent flow of joint compound and reducing the need for frequent refills, the drywall compound applicator enhances efficiency and ensures high-quality results. Upgrade your drywall finishing toolkit with the TapeTech 7"" Corner Applicator and experience the difference in performance and quality. With its durable construction and compatibility with various handles and applicator heads, the TapeTech 7"" Corner Applicator is built to meet the demands of professional use. Whether you are applying joint compound to internal or external corners, this tool ensures a smooth and efficient application process, making your drywall finishing tasks more manageable and effective. For those seeking professional drywall finishing tools, the TapeTech 7"" Corner Applicator is an excellent investment. Additionally, check out our wide range of tapetech parts and tapetech handle parts to ensure your tools are always in top condition. Whether you need tapetech parts near me or looking for tapetech parts for sale, we have you covered. Explore tapetech tools prices and find the best deals for your next project.","Weight: 2.5 lbs | Dimensions: 10 × 8 × 8 in","Taping Tools","2.5","10","8","8","https://tapetech.com/wp-content/uploads/2023/08/CA07TT_SHDW.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA07TT-01.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA07TT-02.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA07TT-03.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA07TT-04.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA07TT-05.jpg"
"TapeTech","8"" Corner Applicator","CA08TT","CA08TT","TapeTech 8"" Corner Applicator: Streamlined Efficiency for Perfect Corners The TapeTech 8"" Corner Applicator is designed to supply joint compound to Corner Finishers, enabling fast and efficient finishing of internal corners (angles). This versatile tool can also be used with Applicator Heads to quickly and cleanly apply joint compound to both internal and external corners, facilitating the installation of paper-faced corner bead. With a stainless steel cone, the TapeTech Corner Applicator ensures durability and reliability on the job. Key Features – Stainless Steel Cone: The applicator features a robust stainless steel cone, which ensures longevity and reliable performance, even with frequent use. – Versatile Use: The Corner Applicator can be used with the FHTT Fiberglass Handle or the XHTT Extension Handle (both handles are not included). This versatility allows you to choose the best handle for your specific needs and preferences. – Multiple Applications: The applicator is compatible with various heads to apply joint compound in different scenarios. Use it with the 16TT to apply joint compound to external corners for paper-faced bead application, or with the 16TT90 to apply joint compound to inside corners for tape application. It also finishes internal corners when used with corner finishers. Usage and Benefits Using the TapeTech 8"" Corner Applicator is straightforward. Simply attach it to the appropriate handle and applicator head for your task. The ergonomic design ensures comfortable use, even during extended periods. Professionals will appreciate the ability to finish internal corners quickly and efficiently. When used with TapeTech Corner Finishers, the drywall corner applicator delivers a smooth, even layer of compound, reducing the need for additional sanding and touch-ups. Furthermore, the applicator's compatibility with Applicator Heads allows for seamless application of joint compound to both internal and external corners, making it an invaluable corner drywall tool for installing paper-faced corner bead. This adaptability ensures that you can handle a variety of finishing tasks with ease and precision. User Experience The TapeTech 8"" Corner Applicator is designed with the user in mind. Its lightweight construction and ergonomic handle reduce strain, making it easy to use for extended periods. The precise control over the flow of joint compound allows for consistent results, enhancing the overall quality of your work. Additionally, the stainless steel cone ensures that the joint compound applicator remains durable and reliable, even with frequent use. Compatibility and Versatility The Corner Applicator stands out for its compatibility and versatility. It can be used with a range of TapeTech drywall tools, including different handles and applicator heads, making it a flexible tool for various drywall finishing tasks. This adaptability ensures that you can handle different types of corners with a single, reliable tool. Quality and Durability Constructed from high-quality materials, the TapeTech 8"" Corner Applicator is built to last. It is designed to withstand the demands of professional use, ensuring reliable performance over time. TapeTech's commitment to quality means that you can trust the corner box drywall to deliver exceptional results on every project. The stainless steel cone adds to its durability, making it a long-lasting addition to your toolkit. Explore More To explore our range of TapeTech products and learn more about how the TapeTech Corner Applicator can enhance your drywall finishing experience, contact your local distributor or visit an authorized TapeTech dealer. For resources and demos, check out our YouTube channel and our Drywall Tool Guide. Visit all-wall to buy. Conclusion The TapeTech 8"" Corner Applicator is an essential tool for any drywall professional looking to achieve perfect corners with ease. Its precision control, high capacity, and versatility make it a standout choice for finishing drywall corners. By providing a consistent flow of joint compound and reducing the need for frequent refills, the drywall compound applicator enhances efficiency and ensures high-quality results. Upgrade your drywall finishing toolkit with the TapeTech 8"" Corner Applicator and experience the difference in performance and quality. With its durable construction and compatibility with various handles and applicator heads, the TapeTech 8"" Corner Applicator is built to meet the demands of professional use. Whether you are applying joint compound to internal or external corners, this tool ensures a smooth and efficient application process, making your drywall finishing tasks more manageable and effective. For those seeking professional drywall finishing tools, the TapeTech 8"" Corner Applicator is an excellent investment. Additionally, check out our wide range of tapetech parts and tapetech handle parts to ensure your tools are always in top condition. Whether you need tapetech parts near me or looking for tapetech parts for sale, we have you covered. Explore tapetech tools prices and find the best deals for your next project.","Weight: 2.7 lbs | Dimensions: 10 × 8 × 8 in","Taping Tools","2.7","10","8","8","https://tapetech.com/wp-content/uploads/2023/08/CA08TT_SHDW.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA08TT-01.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA08TT-02.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA08TT-03.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA08TT-04.jpg | https://tapetech.com/wp-content/uploads/2023/08/CA08TT-05.jpg"
"TapeTech","Applicator Head - Inside Corner","16TT90","16TT90","TapeTech Applicator Heads apply a consistent base coat of joint compound for the cleanest and most efficient installation of paper-faced corner bead or joint tape. The Applicator Head applies the correct amount of joint compound to maximize adhesion and reduce clean up. Attach the 16TT90 Applicator Head to a Corner Applicator (CA07TT or CA08TT), the 14TT MudRunner® or a Compound Tube (CT24TT, CT36TT, CT42TT) to simplify and accelerate installation of paper-faced corner bead for internal drywall corners. Applies joint compound to inside corner for paper-faced tape application (with 14TT, CA07TT or CA08TT).","Weight: 0.9 lbs | Dimensions: 6 × 5 × 5 in","Taping Tools","0.9","6","5","5","https://tapetech.com/wp-content/uploads/2022/06/16TT90_01-1.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT90_02.jpg | https://tapetech.com/wp-content/uploads/2023/08/16TT90-13.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT90_14TT-2.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT90_14TT-1.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT90_CT36TT.jpg"
"TapeTech","Applicator Head - Outside Corner","16TT","16TT","TapeTech Applicator Heads apply a consistent base coat of joint compound for the cleanest and most efficient installation of paper-faced corner bead or joint tape. The Applicator Head applies the correct amount of joint compound to maximize adhesion and reduce clean up. Attach the 16TT90 Applicator Head to a Corner Applicator (CA07TT or CA08TT), the 14TT MudRunner® or a Compound Tube (CT24TT, CT36TT, CT42TT) to simplify and accelerate installation of paper-faced corner bead for internal drywall corners. Applies joint compound to outside corner for paper-faced tape application (with 14TT, CA07TT or CA08TT).","Weight: 0.9 lbs | Dimensions: 6 × 5 × 5 in","Taping Tools","0.9","6","5","5","https://tapetech.com/wp-content/uploads/2023/08/16TT_SHDW.jpg | https://tapetech.com/wp-content/uploads/2023/08/16TT-11.jpg | https://tapetech.com/wp-content/uploads/2023/08/16TT-01.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT_04.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT_05.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT_06.jpg | https://tapetech.com/wp-content/uploads/2022/06/16TT_07.jpg"
"TapeTech","Automatic Taper Extension","ATX01TT","ATX01TT","The TapeTech Automatic Taper Extension adds 30"" or 76 cm to your 07TT EasyClean® Automatic Taper. This extension allows you to reach joints up to 11.8 feet or 3.6 meters high without needing an extra-long taper. *Note - This product is NOT compatible with the 07TT-C EasyClean® Carbon Fiber Automatic Taper. Increased Reach The TapeTech Automatic Taper Extension increases the length of your taper by nearly 60%. This added reach makes it easier to work on high joints, reducing the need for ladders or scaffolding. Easy Connection The extension connects quickly and easily to the automatic taper. No tools are required, making it convenient for any job site. Independent Controls The extension includes its own control tube for advancing and cutting the paper tape. Additionally, it has an independent creaser wheel control lever, allowing for precise and efficient operation. Specifications - Length Addition: Adds 76 cm - Total Reach: Allows for joints up to 3.6 meters high - Connection: Tool-free quick connection - Controls: Independent control tube and creaser wheel control lever Improve Your Work Quality Using the TapeTech Automatic Taper Extension improves the efficiency of high joint applications. It provides extended reach and precise control, reducing the need for additional tools and equipment. This extension is essential for professionals seeking reliable and consistent results. Explore More To explore TapeTech products and learn more about the Automatic Taper Extension, contact your local distributor or visit an authorized TapeTech dealer. For resources and demos, check out our YouTube channel and our Drywall Tool Guide. Visit all-wall&amp;nbsp;to buy. Conclusion Add the TapeTech Automatic Taper Extension to your tools for better performance and ease of use on high joints. Perfect for professionals seeking precision and reliability, this extension elevates your drywall finishing capabilities. Experience the quality and innovation of TapeTech with the Automatic Taper Extension.","Weight: 3 lbs | Dimensions: 5 × 6.7 × 34.25 in","Taping Tools","3","5","6.7","34.25","https://tapetech.com/wp-content/uploads/2022/06/ATX01TT_02.jpg | https://tapetech.com/wp-content/uploads/2022/06/ATX01TT_03.jpg | https://tapetech.com/wp-content/uploads/2022/06/ATX01TT_04.jpg"
"TapeTech","EasyClean® Carbon Fiber Automatic Taper","07TT-C","07TT-C","EasyClean® Carbon Fiber Automatic Taper The EasyClean® Carbon Fiber Automatic Taper is the world’s lightest automatic taper. Weighing only 5.65 pounds, the 07TT-C is up to 20% lighter than other tapers on the market. This significant weight reduction helps to decrease worker fatigue, making it easier to handle and use for extended periods. Innovative Carbon Fiber Design The EasyClean® Carbon Fiber Automatic Taper is constructed from carbon fiber, which makes both the main tube and the control tube incredibly durable. Carbon fiber is a material that won’t dent and remains temperature-neutral. This means no more dealing with cold tubes in winter or hot tubes in summer, providing consistent performance year-round. Advanced Features for Efficiency The 07TT-C comes with TapeTech’s EasyClean® cover plate and tube protector design. This feature simplifies the cleaning process, saving you time and effort. Additionally, the taper includes an adjustable brake, allowing you to control the flow of the joint compound easily. The EasyClean® Carbon Fiber Automatic Taper is known for having the smoothest action in the industry, ensuring a seamless application every time. Versatile Application The EasyClean® Carbon Fiber Automatic Taper is designed to apply joint tape and compound simultaneously. It works on both flat joints on walls and ceilings as well as internal corners. This versatility makes it an essential tool for any drywall finishing job, big or small. Benefits of the EasyClean® Carbon Fiber Automatic Taper - Lightweight: At 5.65 pounds, it reduces worker fatigue. - Durable: Made from carbon fiber, it won’t dent and is temperature-neutral. - Easy to Clean: Features TapeTech’s EasyClean® cover plate and tube protector design. - Adjustable Brake: Allows for easy control of joint compound flow. - Smooth Action: Known for the smoothest action in the industry. - Versatile: Applies joint tape and compound to both flat joints and internal corners. Improve Your Work Quality Using the EasyClean® Carbon Fiber Automatic Taper helps improve the quality and efficiency of your drywall finishing work. Its lightweight design and smooth operation allow for precise application, reducing the need for touch-ups and rework. This tool is ideal for professionals who demand the best in performance and reliability. Explore More To explore our range of TapeTech products and learn more about how the EasyClean® Carbon Fiber Automatic Taper can enhance your drywall finishing experience, contact your local distributor or visit an authorized TapeTech dealer. For resources and demos, check out our YouTube channel and our Drywall Tool Guide. Visit all-wall to buy. Specifications -Weight: 5.65 pounds - Material: Carbon fiber main tube and control tube - Usage: Applies joint tape and compound to flat joints and internal corners on walls and ceilings - Features: EasyClean® cover plate, tube protector design, adjustable brake, and smooth action Experience the Difference Incorporate the EasyClean® Carbon Fiber Automatic Taper into your workflow to experience a new level of performance and ease of use. Ideal for professionals seeking precision and reliability, this tool represents TapeTech’s commitment to innovation and excellence in drywall finishing tools. Elevate your drywall finishing capabilities with TapeTech — where quality meets innovation.","Weight: 6 lbs | Dimensions: 6 × 48 × 6 in","Taping Tools","6","6","48","6","https://tapetech.com/wp-content/uploads/2022/05/07TT-C_01-1.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_02.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_03.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_04.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_05.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_06.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_07.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_08.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_09.jpg | https://tapetech.com/wp-content/uploads/2022/05/07TT-C_10.jpg | https://tapetech.com/wp-content/uploads/2022/06/07TT-C-App-1.jpg | https://tapetech.com/wp-content/uploads/2022/06/07TT-C-App-2.jpg | https://tapetech.com/wp-content/uploads/2022/06/07TT-C-App-3.jpg"
