Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Asgard,variable,ASGARD-AB8,ASGARD-AB8,"Asgard 8"" Angle Box",1,0,visible,"Asgard 8"" Angle Box available with Fixed Handle (4K-S6F6-8HQ6) or Extendable Handle (4I-SJ80-1WRW). Professional-grade drywall corner box for efficient internal corner compound application.","<p>The Asgard 8"" Angle Box delivers consistent, professional-grade joint compound application in internal 90-degree drywall corners. Available in two handle configurations—Fixed Handle (4K-S6F6-8HQ6) for superior leverage and stability, and Extendable Handle (4I-SJ80-1WRW) for reaching high corners and ceilings without constant ladder repositioning. Both feature a durable anodized aluminum body and stainless steel nose cone for long-term reliability.</p><ul><li><strong>Two Handle Options:</strong> Fixed handle for control and stability; extendable handle for high-reach applications.</li><li><strong>High-Capacity 8"" Box:</strong> Holds more compound for longer runs between refills.</li><li><strong>Durable Construction:</strong> Anodized aluminum frame with stainless steel nose cone.</li><li><strong>Professional Finish:</strong> Works with angle heads for consistent, clean corner coating in one pass.</li><li><strong>Corrosion Resistant:</strong> Stainless steel components for job site longevity.</li></ul>",,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard angle box, 8 inch angle box, Corner & Angle Tools, 4K-S6F6-8HQ6, 4I-SJ80-1WRW",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp,,,,,,,,,971,Brand,Asgard,1,1,0,Handle Type,Fixed Handle | Extendable Handle,1,1,1,"Asgard 8"" Angle Box | Fixed or Extendable Handle","Asgard 8"" Angle Box available with Fixed Handle ($373.99) or Extendable Handle ($430). Professional drywall angle box for internal corner finishing. Shop Drywall Toolbox.",
Asgard,variation,4I-SJ80-1WRW,4I-SJ80-1WRW,"Asgard 8"" Angle Box with Extendable Handle (4I-SJ80-1WRW)",1,0,visible,,,,,,430,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard, 8 inch angle box, corner finisher, internal corner tool, 4I-SJ80-1WRW, drywall finishing, extendable handle, joint compound applicator",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp,,,ASGARD-AB8,,,,,,85,Brand,Asgard,1,1,0,Handle Type,Extendable Handle,1,1,1,"Asgard 8"" Angle Box with Extendable Handle - 4I-SJ80-1WRW","Apply joint compound to internal corners efficiently with the Asgard 8"" Angle Box. Features a lightweight aluminum body and extendable handle for high-reach finishing.",
Asgard,variation,4K-S6F6-8HQ6,4K-S6F6-8HQ6,"Asgard 8"" Angle Box with Fixed Handle (4K-S6F6-8HQ6)",1,0,visible,,,,,,373.99,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard, 8 inch angle box, corner finisher, fixed handle, 4K-S6F6-8HQ6, internal corner finishing, professional drywall tools",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp,,,ASGARD-AB8,,,,,,86,Brand,Asgard,1,1,0,Handle Type,Fixed Handle,1,1,1,"Asgard 8"" Angle Box with Fixed Handle - 4K-S6F6-8HQ6","Streamline drywall corner finishing with the Asgard 8"" Angle Box. Fixed handle design provides superior leverage and control for consistent compound application.",
Asgard,simple,9R-PIR7-OTNL,9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),1,0,visible,"A comprehensive, professional-grade drywall taping and finishing system engineered for maximum efficiency and consistent, high-quality results.","<p>Asgard Full Taping Tool Set (9R-PIR7-OTNL) provides a comprehensive, high-performance system for professional drywall finishing. This set is engineered to handle the rigors of daily job site use, ensuring consistent compound application and precise corner finishing for high-quality results on both commercial and residential projects.</p><p>Designed for durability and operational efficiency, these tools reduce physical strain during extended shifts. The system is fully supported by the TapeTech service network, ensuring long-term reliability and maintenance support.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Finishing System:</strong> Includes all essential components for taping, pumping, and finishing, featuring both 10-inch and 12-inch boxes.</li><li><strong>Precision Corner Work:</strong> Equipped with a 3-inch angle head and corner roller to deliver clean, sharp inside corners.</li><li><strong>Ergonomic Design:</strong> Features lightweight, extendable handles to improve reach and minimize operator fatigue.</li><li><strong>Reliable Construction:</strong> Built with rugged materials to withstand heavy-duty use and minimize the need for rework.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>9R-PIR7-OTNL</td></tr><tr><td>UPC</td><td>0873876005376</td></tr><tr><td>Warranty</td><td>5-Year Limited Warranty</td></tr><tr><td>Set Includes</td><td>Hammer Automatic Taper (AT01-AD), 10"" Finish Box (EZ10-AD), 12"" Finish Box (EZ12-AD), Loading Pump (LP01-AD), Corner Roller, 3"" Angle Head, Angle Head Adapter, Fiberglass Handle, Gooseneck, Filler Adapter</td></tr></tbody></table>",,,,3670,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"Asgard, taping tool set, full finishing kit, 9R-PIR7-OTNL, automatic taper, 10 inch flat box, 12 inch flat box, professional drywall set",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-full-taping-tool-set-pro-grade-9R-PIR7-OTNL-01.webp,,,,,,,,,382,Brand,Asgard,1,1,0,,,,,0,Asgard Pro-Grade Full Taping Tool Set - 9R-PIR7-OTNL,"Complete Asgard drywall finishing system including automatic taper, flat boxes, and corner tools. Engineered for high-volume professional productivity and durability.",
Asgard,simple,AGFLATEXT,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",1,0,visible,"This professional-grade drywall finishing kit features 10-inch and 12-inch flat boxes, a loading pump, filler adapter, and an extendable handle for efficient, consistent compound application.","<p>Asgard 10"" and 12"" Flat Box Combo Set provides a streamlined, professional-grade solution for drywall finishing, engineered to maximize efficiency on flat seams and butt joints. This comprehensive kit combines essential tools to reduce manual labor and ensure consistent compound application across various stages of the finishing process.</p><p>The system is built for durability and ease of use, featuring high-quality aluminum components and an anodized finish for long-term reliability on demanding job sites. The included extendable handle offers versatile reach, while the loading pump and filler adapter facilitate rapid, mess-free refills to maintain steady production flow.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Size Versatility:</strong> Includes both 10-inch and 12-inch flat boxes to accommodate different finishing stages, from initial fills to final coats.</li><li><strong>Efficient Refill System:</strong> High-performance loading pump and dedicated filler adapter allow for quick, clean transitions between fills.</li><li><strong>Adjustable Reach:</strong> Extendable handle provides precise control and access to high walls and ceilings without the need for constant ladder repositioning.</li><li><strong>Field-Tested Durability:</strong> Constructed with high-quality alloys and an anodized finish to withstand daily professional use.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>AGFLATEXT</td></tr><tr><td>Application</td><td>Drywall Seam and Butt Joint Finishing</td></tr><tr><td>Set Includes</td><td>10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle</td></tr><tr><td>Model Numbers</td><td>EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD</td></tr></tbody></table>",,,,1357,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"Asgard, flat box set, 10 inch flat box, 12 inch flat box, AGFLATEXT, drywall combo kit, extendable handle, loading pump",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-02.webp,,,,,,,,,381,Brand,Asgard,1,1,0,,,,,0,"Asgard 10"" & 12"" Flat Box Combo Set - AGFLATEXT","Maximize efficiency on flat seams and butt joints with the Asgard Flat Box Combo. Includes 10"" and 12"" boxes, loading pump, and extendable handle.",
Asgard,variable,AH-AD,AH-AD,Asgard Angle Head,1,0,visible,"Professional Asgard Angle Head available in 2.5"", 3"", and 3.5"" sizes for precise, single-pass internal corner finishing.","<p>The Asgard Angle Head is a professional-grade finisher engineered to simultaneously feather joint compound on both sides of internal 90-degree corners. Available in 2.5"", 3"", and 3.5"" widths, these tools deliver a clean, uniform finish in a single pass, significantly reducing manual sanding. Built for high-volume production, they feature a corrosion-resistant die-cast aluminum body, stainless steel frames, and easy-roll rubber wheels to minimize friction. The patented positive ball retainer ensures a secure, reliable connection to your handle or applicator.</p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical finish.</li><li><strong>Durable Construction:</strong> Die-cast aluminum body with stainless steel frames and skids for job site longevity.</li><li><strong>Smooth Operation:</strong> Easy-roll wheels reduce drag on wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Fit:</strong> Patented positive ball retainer prevents accidental disconnects during use.</li><li><strong>Available Sizes:</strong> 2.5"" (AH25-AD), 3"" (AH30-AD), and 3.5"" (AH35-AD).</li></ul>",,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard, angle head, corner finisher, AH-AD, internal corner tool, 2.5 inch angle head, 3 inch angle head, 3.5 inch angle head",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-2-5-inch-angle-head-AH25-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-inch-angle-head-AH30-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-5-inch-angle-head-AH35-AD-01.webp,,,,,,,,,87,Brand,Asgard,1,1,0,Size,"2.5"" | 3"" | 3.5""",1,1,1,Asgard Professional Angle Head Finisher - AH-AD,"Achieve a clean, uniform finish in internal 90-degree corners with the Asgard Angle Head. Features a die-cast aluminum body and easy-roll rubber wheels.",
Asgard,variation,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",1,0,visible,,,,,,316,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"2.5 inch angle head, Asgard AH25-AD, internal corner tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-2-5-inch-angle-head-AH25-AD-01.webp,,,AH-AD,,,,,,88,Brand,Asgard,1,1,0,Size,"2.5""",1,1,1,"Asgard 2.5"" Angle Head (AH25-AD) | Die-cast Aluminum Body","Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results.",
Asgard,variation,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",1,0,visible,,,,,,338,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"3 inch angle head, Asgard AH30-AD, automatic taping tools, internal corner tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-inch-angle-head-AH30-AD-01.webp,,,AH-AD,,,,,,89,Brand,Asgard,1,1,0,Size,"3""",1,1,1,"Asgard 3"" Angle Head (AH30-AD) | Adjustable Spring Tension","Finish internal corners efficiently with the Asgard 3"" Angle Head (AH30-AD). Features adjustable spring tension for $338. Perfect for professional drywall.",
Asgard,variation,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",1,0,visible,,,,,,356,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"AH35-AD, joint compound feathering, Asgard 3.5 Angle Head, angle head drywall tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-5-inch-angle-head-AH35-AD-01.webp,,,AH-AD,,,,,,90,Brand,Asgard,1,1,0,Size,"3.5""",1,1,1,"Asgard 3.5"" Angle Head (AH35-AD) | Die-Cast Aluminum Body","Finish internal drywall corners efficiently with the $356 Asgard 3.5"" Angle Head. Features adjustable tension and durable die-cast aluminum construction.",
Asgard,simple,BBH-AD,BBH-AD,Asgard Brakeless Box Handle (BBH-AD),1,0,visible,"The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands.","<p><strong>Asgard Brakeless Box Handle (BBH-AD)</strong> provides professional drywall finishers with a streamlined, high-performance tool designed for consistent, fluid operation. By replacing traditional mechanical braking systems with a precision-engineered friction brake, this handle removes the steep learning curve often associated with standard finishing box handles. It allows for smooth, uninterrupted strokes across both walls and ceilings, ensuring a uniform coat with minimal effort.</p><p>Constructed from durable, lightweight fiberglass, this handle is built to withstand the daily demands of a busy job site while reducing operator fatigue during extended use. The ergonomic knob allows for quick, intuitive adjustments to friction levels, giving the user complete control over the box position and pressure. It is compatible with all major brands of finishing boxes, making it a versatile and reliable addition to any professional toolkit.</p><p><strong>Features:</strong></p><ul><li><strong>Friction Brake Design:</strong> Eliminates complex mechanical linkages for a smoother, more predictable finish and a shorter learning curve.</li><li><strong>Ergonomic Control:</strong> Features an easy-to-adjust knob that allows for precise friction settings to suit individual preferences and specific job requirements.</li><li><strong>Durable Construction:</strong> Manufactured from lightweight, high-strength fiberglass that is easy to clean and resistant to job site wear.</li><li><strong>Universal Compatibility:</strong> Engineered to fit seamlessly with all major brands of automatic drywall finishing boxes.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>BBH-AD</td></tr><tr><td>Length</td><td>34 inches (86 cm)</td></tr><tr><td>Material</td><td>Fiberglass</td></tr><tr><td>Brake Type</td><td>Friction Brake</td></tr><tr><td>Warranty</td><td>5-Year Limited (TapeTech)</td></tr></tbody></table>",,,,128,taxable,,1,100,,0,0,,,,,,1,,Drywall Finishing Tools > Asgard > Handles & Extensions,"Asgard, flat box handle, brakeless handle, BBH-AD, friction brake, fiberglass handle, drywall finishing",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-brakeless-box-handle-BBH-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-brakeless-box-handle-BBH-AD-02.webp,,,,,,,,,179,Brand,Asgard,1,1,0,,,,,0,Asgard Brakeless Box Handle with Friction Brake - BBH-AD,"The Asgard BBH-AD features a precision friction brake for smooth, predictable flat box control. Lightweight fiberglass construction reduces operator fatigue.",
