Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Taping Tools,10FBB,10FBB,Columbia 10&#34; Fat Boy Flat Box,simple,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5&Prime; Fat Boy to our 12&Prime;, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they&rsquo;re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p>","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5&Prime; Fat Boy to our 12&Prime;, they ar...",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt10fbb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 10FBB, drywall taping tool, finishing tool, columbia",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 10&#34; Fat Boy Flat Box | 10FBB,Professional drywall taping tool: Columbia 10&#34; Fat Boy Flat Box (Part: 10FBB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,10FBBA,10FBBA,Columbia 10&#34; Fat Boy Automatic Assist Drywall Flat Box,simple,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p>",Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to...,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt10fbba.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 10FBBA, drywall taping tool, finishing tool, columbia",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 10&#34; Fat Boy Automatic Assist Drywall Flat Box | 10FBBA,Professional drywall taping tool: Columbia 10&#34; Fat Boy Automatic Assist Drywall Flat Box (Part: 10FBBA). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,10FFB,10FFB,Columbia 10&#34; Flat Finishing Box,simple,"<p>Columbia Taping Tools 10"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.</p>","Columbia Taping Tools 10"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfac...",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt10ffb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 10FFB, drywall taping tool, finishing tool, columbia",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 10&#34; Flat Finishing Box | 10FFB,Professional drywall taping tool: Columbia 10&#34; Flat Finishing Box (Part: 10FFB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,10FFBA,10FFBA,Columbia 10&#34; Automatic Flat Box,simple,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p>",Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to...,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt10ffba.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 10FFBA, drywall taping tool, finishing tool, columbia",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 10&#34; Automatic Flat Box | 10FFBA,Professional drywall taping tool: Columbia 10&#34; Automatic Flat Box (Part: 10FFBA). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,10ITFB,10ITFB,Columbia 10&#34; Inside Track Fat Boy Flat Box,simple,"<p>High capacity Inside Track FatBoy box holds 30% more mud compound than standard flat box, for less trips back to the loading pump. Compatible with all leading brands of drywall flat box finisher brake handles, and quick clean feature allows convenient access to clean without removing pressure plate. 10"" box is excellent for applying the base coat of mud to drywall flat seams and is super effective when finishing butt joints.</p>","High capacity Inside Track FatBoy box holds 30% more mud compound than standard flat box, for less trips back to the loading pump. Compatible with...",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt10itfb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 10ITFB, drywall taping tool, finishing tool, columbia",5,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 10&#34; Inside Track Fat Boy Flat Box | 10ITFB,Professional drywall taping tool: Columbia 10&#34; Inside Track Fat Boy Flat Box (Part: 10ITFB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,12FBB,12FBB,Columbia 12&#34; Fat Boy Flat Box,simple,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5&Prime; Fat Boy to our 12&Prime;, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they&rsquo;re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p>","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5&Prime; Fat Boy to our 12&Prime;, they ar...",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt12fbb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 12FBB, drywall taping tool, finishing tool, columbia",6,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 12&#34; Fat Boy Flat Box | 12FBB,Professional drywall taping tool: Columbia 12&#34; Fat Boy Flat Box (Part: 12FBB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,12FBBA,12FBBA,Columbia 12&#34; Fat Boy Automatic Assist Drywall Flat Box,simple,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p>",Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to...,,,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 12FBBA, drywall taping tool, finishing tool, columbia",7,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 12&#34; Fat Boy Automatic Assist Drywall Flat Box | 12FBBA,Professional drywall taping tool: Columbia 12&#34; Fat Boy Automatic Assist Drywall Flat Box (Part: 12FBBA). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,12FFB,12FFB,Columbia 12&#34; Flat Finishing Box,simple,"<p>Columbia Taping Tools 12"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.</p>","Columbia Taping Tools 12"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfac...",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt12ffb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 12FFB, drywall taping tool, finishing tool, columbia",8,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 12&#34; Flat Finishing Box | 12FFB,Professional drywall taping tool: Columbia 12&#34; Flat Finishing Box (Part: 12FFB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,12FFBA,12FFBA,Columbia 12&#34; Automatic Flat Box,simple,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p>",Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to...,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt12ffba.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 12FFBA, drywall taping tool, finishing tool, columbia",9,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 12&#34; Automatic Flat Box | 12FFBA,Professional drywall taping tool: Columbia 12&#34; Automatic Flat Box (Part: 12FFBA). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,12ITFB,12ITFB,Columbia 12&#34; Inside Track Fat Boy Flat Box,simple,"<p>Premier/Blue flat box users have long known the advantage of inside wheels for quickly finishing butt joints. The inside wheels allow for quick multi-coating of butts because the wheels do not track into the split finish. The Inside Track boxes are ideal for any contractor looking for an advantage on butt joints, or anyone converting from Premier/Blue style tools.</p>",Premier/Blue flat box users have long known the advantage of inside wheels for quickly finishing butt joints. The inside wheels allow for quick mul...,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt12itfb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 12ITFB, drywall taping tool, finishing tool, columbia",10,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 12&#34; Inside Track Fat Boy Flat Box | 12ITFB,Professional drywall taping tool: Columbia 12&#34; Inside Track Fat Boy Flat Box (Part: 12ITFB). Columbia Tools quality. High-performance finishing equipment for contractors.
Columbia Taping Tools,14FFB,14FFB,Columbia 14&#34; Flat Box,simple,<p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5&rdquo; specialty box to our 14&rdquo; they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p>,Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5&rdquo; specialty box to our 14&rdquo; they are all star perf...,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ctt14ffb.webp,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,"Columbia Tools, 14FFB, drywall taping tool, finishing tool, columbia",11,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1,Columbia 14&#34; Flat Box | 14FFB,Professional drywall taping tool: Columbia 14&#34; Flat Box (Part: 14FFB). Columbia Tools quality. High-performance finishing equipment for contractors.
