universal_part_id,canonical_name,part_family,thread,length,nominal_size,head_style,drive_style,material,confidence,status,brands,catalog_skus,source_audit_key,source_report,notes
UP-BOLT-1-4-20-X-1-1-2,1/4-20 x 1-1/2 Bolt,bolt,1/4-20,1-1/2,,,unknown,unknown,medium,review,Columbia;Platinum,,bolt 1/4-20 x 1-1/2,products/Production/launch/reports/universal_part_groups.csv,Head style must be confirmed before active substitution
UP-NUT-1-4-20-HEX,1/4-20 Hex Nut,nut,1/4-20,,,hex,,stainless,high,review,Columbia;TapeTech,CT109;FA291,nut 1/4-20 hex,products/Production/launch/reports/universal_part_groups.csv,Audit examples include slotted or heavy variants and require subtype review
UP-NUT-1-4-20-NYLON-LOCK,1/4-20 Nylon Lock Nut,nut,1/4-20,,,nylon lock,,nylon,high,active,Columbia;Platinum,FA347;FA290,nut 1/4-20 nylon lock,products/Production/launch/reports/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate
UP-NUT-10-24,10-24 Nut,nut,10-24,,,,,stainless,high,review,Asgard;Columbia;TapeTech,FA272,nut 10-24,products/Production/launch/reports/universal_part_groups.csv,Current audit key is too broad because wing nut and standard nut variants may be mixed
UP-NUT-10-24-NYLON-LOCK,10-24 Nylon Lock Nut,nut,10-24,,,nylon lock,,nylon,high,active,Asgard;Columbia,FA271,nut 10-24 nylon lock,products/Production/launch/reports/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate
UP-NUT-10-32-LOCK,10-32 Lock Nut,nut,10-32,,,lock,,,medium,review,Level5;Platinum,,nut 10-32 lock,products/Production/launch/reports/universal_part_groups.csv,Schematic-only cross-brand candidate
UP-NUT-3-8-16-NYLON-LOCK,3/8-16 Nylon Lock Nut,nut,3/8-16,,,nylon lock,,nylon,high,active,Asgard;Columbia,FA358,nut 3/8-16 nylon lock,products/Production/launch/reports/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate with thin variant spot check required
UP-NUT-4-40-HEX,4-40 Hex Nut,nut,4-40,,,hex,,stainless,high,active,Columbia;TapeTech,FA206;059005,nut 4-40 hex,products/Production/launch/reports/universal_part_groups.csv,Standard cross-brand hex nut candidate
UP-NUT-6-32-BRASS,6-32 Brass Nut,nut,6-32,,,hex,,brass,high,active,Asgard;TapeTech,209058,nut 6-32 brass,products/Production/launch/reports/universal_part_groups.csv,Material is functionally relevant and retained in key
UP-O-RING-5-32-ID-9-16-OD,5/32 ID x 9/16 OD O-Ring,o-ring,,,5/32 ID x 9/16 OD,,,rubber,medium,review,Asgard;TapeTech,,o-ring 5/32 id; 9/16 od,products/Production/launch/reports/universal_part_groups.csv,Needs width or cross-section confirmation for all members before active substitution
UP-PIN-1-16-X-1-2-COTTER,1/16 x 1/2 Cotter Pin,pin,,1/2,1/16,cotter,,stainless,medium,active,Columbia;TapeTech,FA202,pin 1/16 x 1/2 cotter,products/Production/launch/reports/universal_part_groups.csv,Exact diameter length and pin type match
UP-SCREW-1-4-20-X-2-HEX-HEAD,1/4-20 x 2 Hex Head Screw,screw,1/4-20,2,,hex,unknown,unknown,medium,review,Asgard;Level5,,screw 1/4-20 x 2 hex head,products/Production/launch/reports/universal_part_groups.csv,Schematic-only candidate
UP-SCREW-1-4-20-X-5-8-SOCKET-HEAD,1/4-20 x 5/8 Socket Head Screw,screw,1/4-20,5/8,,socket,socket,unknown,high,active,Asgard;Columbia;Level5,FA337,screw 1/4-20 x 5/8 socket head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-10-24-X-1-1-4-FILLISTER-HEAD,10-24 x 1-1/4 Fillister Head Screw,screw,10-24,1-1/4,,fillister,slot,unknown,medium,review,Asgard;TapeTech,,screw 10-24 x 1-1/4 fillister head,products/Production/launch/reports/universal_part_groups.csv,No visible catalog SKU in audit row
UP-SCREW-10-32-X-1-2-BINDER-HEAD,10-32 x 1/2 Binder Head Screw,screw,10-32,1/2,,binder,unknown,unknown,high,active,Asgard;TapeTech,509008,screw 10-32 x 1/2 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong thread length and head candidate
UP-SCREW-4-40-X-1-BINDER-HEAD,4-40 x 1 Binder Head Screw,screw,4-40,1,,binder,unknown,stainless,high,active,Asgard;TapeTech,219092,screw 4-40 x 1 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong thread length and head candidate
UP-SCREW-4-40-X-1-2-FILLISTER-HEAD,4-40 x 1/2 Fillister Head Screw,screw,4-40,1/2,,fillister,slot,unknown,high,active,Columbia;TapeTech,FA219;FA21A,screw 4-40 x 1/2 fillister head,products/Production/launch/reports/universal_part_groups.csv,Strong thread length and head candidate
UP-SCREW-4-40-X-1-4-BINDER-HEAD,4-40 x 1/4 Binder Head Screw,screw,4-40,1/4,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA213,screw 4-40 x 1/4 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-4-40-X-1-4-FILLISTER-HEAD,4-40 x 1/4 Fillister Head Screw,screw,4-40,1/4,,fillister,slot,stainless,high,active,Columbia;Level5;Platinum;TapeTech,FAZ10,screw 4-40 x 1/4 fillister head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-4-40-X-1-8-BINDER-HEAD,4-40 x 1/8 Binder Head Screw,screw,4-40,1/8,,binder,unknown,stainless,high,active,Asgard;Columbia;TapeTech,FA208,screw 4-40 x 1/8 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-4-40-X-3-16-BINDER-HEAD,4-40 x 3/16 Binder Head Screw,screw,4-40,3/16,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA210;FAZ07,screw 4-40 x 3/16 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-4-40-X-3-16-FILLISTER-HEAD,4-40 x 3/16 Fillister Head Screw,screw,4-40,3/16,,fillister,slot,stainless,high,active,Asgard;TapeTech,889030,screw 4-40 x 3/16 fillister head,products/Production/launch/reports/universal_part_groups.csv,Strong thread length and head candidate
UP-SCREW-4-40-X-5-16-BINDER-HEAD,4-40 x 5/16 Binder Head Screw,screw,4-40,5/16,,binder,unknown,stainless,high,active,Asgard;Columbia;TapeTech,FA215,screw 4-40 x 5/16 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-5-16-18-X-7-8-HEX-HEAD,5/16-18 x 7/8 Hex Head Screw,screw,5/16-18,7/8,,hex,unknown,unknown,medium,review,Asgard;Level5,,screw 5/16-18 x 7/8 hex head,products/Production/launch/reports/universal_part_groups.csv,Schematic-only candidate
UP-SCREW-6-32-FLAT-HEAD,6-32 Flat Head Screw,screw,6-32,,,flat,unknown,stainless,high,quarantine,Asgard;TapeTech,059107,screw 6-32 flat head,products/Production/launch/reports/universal_part_groups.csv,Length parsing is inconsistent so this is not import safe
UP-SCREW-6-32-X-1-2-FILLISTER-HEAD,6-32 x 1/2 Fillister Head Screw,screw,6-32,1/2,,fillister,slot,stainless,high,active,Asgard;Columbia;Level5;Platinum;TapeTech,FA245;059091,screw 6-32 x 1/2 fillister head,products/Production/launch/reports/universal_part_groups.csv,Strongest audited universal group
UP-SCREW-6-32-X-1-4-BINDER-HEAD,6-32 x 1/4 Binder Head Screw,screw,6-32,1/4,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA239,screw 6-32 x 1/4 binder head,products/Production/launch/reports/universal_part_groups.csv,Strong cross-brand thread length and head candidate
UP-SCREW-6-32-X-1-4-FILLISTER-HEAD,6-32 x 1/4 Fillister Head Screw,screw,6-32,1/4,,fillister,slot,stainless,medium,review,Asgard;Level5;Platinum;TapeTech,,screw 6-32 x 1/4 fillister head,products/Production/launch/reports/universal_part_groups.csv,No visible catalog SKU in audit row
UP-SCREW-8-32-X-3-8,8-32 x 3/8 Screw,screw,8-32,3/8,,,,stainless,high,review,Columbia;Level5;Platinum;TapeTech,FA261,screw 8-32 x 3/8,products/Production/launch/reports/universal_part_groups.csv,Audit key omits head style and must be split before active use
UP-SCREW-8-32-X-3-8-BINDER-HEAD,8-32 x 3/8 Binder Head Screw,screw,8-32,3/8,,binder,unknown,stainless,medium,review,Asgard;TapeTech,,screw 8-32 x 3/8 binder head,products/Production/launch/reports/universal_part_groups.csv,Schematic-only candidate
UP-SCREW-8-32-X-5-8-TRUSS,8-32 x 5/8 Truss Head Screw,screw,8-32,5/8,,truss,unknown,stainless,medium,review,Asgard;TapeTech,,screw 8-32 x 5/8 truss,products/Production/launch/reports/universal_part_groups.csv,Schematic-only candidate
UP-SET-SCREW-1-4-28-X-1-4,1/4-28 x 1/4 Set Screw,set screw,1/4-28,1/4,,set,unknown,unknown,high,active,Columbia;TapeTech,FA302,set screw 1/4-28 x 1/4,products/Production/launch/reports/universal_part_groups.csv,Strong set screw candidate
UP-SET-SCREW-4-40-X-1-8,4-40 x 1/8 Set Screw,set screw,4-40,1/8,,set,unknown,unknown,high,active,Columbia;TapeTech,FAZ1S,set screw 4-40 x 1/8,products/Production/launch/reports/universal_part_groups.csv,Strong set screw candidate
UP-SET-SCREW-6-32-X-1-8,6-32 x 1/8 Set Screw,set screw,6-32,1/8,,set,unknown,unknown,high,active,Columbia;TapeTech,FA235;FAZ21S,set screw 6-32 x 1/8,products/Production/launch/reports/universal_part_groups.csv,Strong set screw candidate
UP-SET-SCREW-8-32-X-1-4,8-32 x 1/4 Set Screw,set screw,8-32,1/4,,set,unknown,stainless,high,review,Asgard;Columbia;TapeTech,FAZ5S,set screw 8-32 x 1/4,products/Production/launch/reports/universal_part_groups.csv,Half-dog subtype appears in examples and must be split before active use
UP-WASHER-10-BRASS,#10 Brass Washer,washer,,,#10,brass,,brass,medium,review,Asgard;Level5;Platinum;TapeTech,,washer #10 brass,products/Production/launch/reports/universal_part_groups.csv,High occurrence but washer geometry must be confirmed
UP-WASHER-10-FLAT,#10 Flat Washer,washer,,,#10,flat,,stainless,medium,review,Columbia;TapeTech,FA268,washer #10 flat,products/Production/launch/reports/universal_part_groups.csv,Likely universal but material and OD are not fully present in all titles
UP-WASHER-10-LOCK,#10 Lock Washer,washer,,,#10,lock,,stainless,medium,review,Asgard;TapeTech,,washer #10 lock,products/Production/launch/reports/universal_part_groups.csv,Schematic-only candidate
UP-WASHER-6-FLAT,#6 Flat Washer,washer,,,#6,flat,,stainless,high,active,Asgard;Columbia;TapeTech,FA228,washer #6 flat,products/Production/launch/reports/universal_part_groups.csv,Strong nominal size type and material candidate
UP-WASHER-6-LOCK,#6 Lock Washer,washer,,,#6,lock,,unknown,high,active,Asgard;Columbia;Level5;TapeTech,FA229,washer #6 lock,products/Production/launch/reports/universal_part_groups.csv,Strong nominal size and type candidate
UP-WASHER-8-LOCK,#8 Lock Washer,washer,,,#8,lock,,stainless,high,active,Asgard;Columbia;TapeTech,FA28,washer #8 lock,products/Production/launch/reports/universal_part_groups.csv,Strong nominal size and type candidate
UP-WASHER-5-16-FLAT,5/16 Flat Washer,washer,,,5/16,flat,,unknown,medium,review,Columbia;TapeTech,FA303;FA304,washer 5/16 flat,products/Production/launch/reports/universal_part_groups.csv,Likely universal but material and OD are not fully present in visible titles
